ngo_name,unique_id,registered_with,type_of_ngo,registration_number,copy_of_registration_certificate,copy_of_pan_card,act_name,city_of_registration,state_of_registration,registration_date,key_issues,operational_areas_states,operational_areas_districts,FCRA_details,FCRA_registration_num,details_of_achievement,contact_details_address,contact_details_city,contact_details_state,contact_details_telephone,contact_details_website,contact_details_email,members_names_designations,members_names_pan_availability,members_names_aadhar_availability,source_of_funds_amount_sanctioned,source_of_funds_department_name,source_of_funds_source,source_of_funds_purpose,sector_number,ngo_num,page_num,page_num_total
YOUTH EDUCATIONAL AND CHARITABLE FOUNDATION,UP/2021/0290926,Registrar of Companies,Private Sector Companies (Sec 8/25),U80902UP2020NPL138920,Available,Available,"Companies Act, 2013",GHAZIABAD,UTTAR PRADESH,05-12-2020,Education &amp; Literacy,UTTAR PRADESH,UTTAR PRADESH-&gt;Faizabad,Not Available,Not Available,"Provide guidance, career counselling, educate, and to create educational awareness program and to make, develop, build, promote, Education Centre for the underprivileged students","SHOP NO-2, Laxmi Complex Devkali, Near LIC Office, Faizabad, Uttar Pradesh, India, 224001",GHAZIABAD,UTTAR PRADESH,Not Available,Not Available,ravifzd(at)gmail[dot]com,"{' RAVI DUBEY': 'Director', ' DEVENDRA VERMA': 'Director', ' CHARU TRIPATHI': 'Director'}","{' RAVI DUBEY': 'Available', ' DEVENDRA VERMA': 'Available', ' CHARU TRIPATHI': 'Available'}","{' RAVI DUBEY': 'Available', ' DEVENDRA VERMA': 'Available', ' CHARU TRIPATHI': 'Available'}",{'2020-2021': 'Not Specified'},{'2020-2021': 'Not Specified'},{'2020-2021': 'Any Other'},{'2020-2021': 'Promotor Contribution and Donations Received .'},34,10,195,100
Youth Empower Foundation Trust,UP/2020/0263651,Sub-Registrar,Trust (Non-Government),58,Available,Available,Indian Trust Act 1882,Ghazipur,UTTAR PRADESH,22-06-2020,"Agriculture,Art &amp; Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Drinking Water,Education &amp; Literacy,Food Processing,Health &amp; Family Welfare,HIV/AIDS,Housing,Human Rights,Information &amp; Communication Technology,Labour &amp; Employment,Land Resources,Legal Awareness &amp; Aid,Micro Finance (SHGs),Micro Small &amp; Medium Enterprises,Minority Issues,New &amp; Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information &amp; Advocacy,Science &amp; Technology,Scientific &amp; Industrial Research,Sports,Tourism,Tribal Affairs,Vocational Training,Water Resources","ASSAM, BIHAR, CHHATTISGARH, DELHI, GUJARAT, HARYANA, HIMACHAL PRADESH, MADHYA PRADESH, PUNJAB, RAJASTHAN, UTTAR PRADESH, UTTARAKHAND, WEST BENGAL","ASSAM-&gt;Kokrajhar, Goalpara, Nagaon, Sonitpur, Lakhimpur, Dibrugarh, Sivasagar, Jorhat, Golaghat, BIHAR-&gt;Sitamarhi, Darbhanga, Siwan, Samastipur, Begusarai, Munger, Nalanda, Patna, Buxar, CHHATTISGARH-&gt;Bilaspur, Rajnandgaon, Durg, Raipur, DELHI-&gt;New Delhi, Central, GUJARAT-&gt;Gandhinagar, Jamnagar, Vadodara, HARYANA-&gt;Ambala, Gurgaon, Faridabad, HIMACHAL PRADESH-&gt;Kangra, Mandi, MADHYA PRADESH-&gt;Gwalior, PUNJAB-&gt;Patiala, RAJASTHAN-&gt;Bikaner, Bharatpur , Chittaurgarh , Kota , UTTAR PRADESH-&gt;Meerut, Ghaziabad, Unnao, Lucknow, Auraiya, Prayagraj, Bara Banki, Shrawasti, Basti, Gorakhpur, Varanasi, UTTARAKHAND-&gt;Uttarkashi, Dehradun, Nainital, Hardwar, WEST BENGAL-&gt;Darjiling , Jalpaiguri , Barddhaman , Kolkata",Not Available,Not Available,Not Available,Village-Post:- Pithapur,Ghazipur,UTTAR PRADESH,Not Available,Not Available,youthempowerfoundationtrust(at)gmail[dot]com,"{' RAMESH UPADHYAY': 'President', ' ANJANI CHAUBEY': 'Secretary', ' DEOBRAT UPADHYAY': 'Vice President'}","{' RAMESH UPADHYAY': 'Available', ' ANJANI CHAUBEY': 'Available', ' DEOBRAT UPADHYAY': 'Available'}","{' RAMESH UPADHYAY': 'Available', ' ANJANI CHAUBEY': 'Available', ' DEOBRAT UPADHYAY': 'Available'}",{'2020-2021': 'Not Specified'},{'2020-2021': 'Not Specified'},{'2020-2021': 'Any Other'},{'2020-2021': 'Transaction Nill till now'},34,11,195,100
Youth Empowerment And Social Welfare Trust,UP/2020/0255341,Sub-Registrar,Trust (Non-Government),4/193/275/312/214,Available,Available,Trust Act 1882,Varanasi,UTTAR PRADESH,05-07-2017,"Agriculture,Children,Differently Abled,Education &amp; Literacy,Food Processing,Information &amp; Communication Technology,Micro Finance (SHGs),Micro Small &amp; Medium Enterprises,Minority Issues,Rural Development &amp; Poverty Alleviation,Tourism,Tribal Affairs,Vocational Training,Women's Development &amp; Empowerment,Youth Affairs",UTTAR PRADESH,"UTTAR PRADESH-&gt;Meerut, Ghaziabad, Gautam Buddha Nagar, Prayagraj, Varanasi",Not Available,Not Available,"working in the field of Skill Development , women empowerment , welfare of Persons with Disability, SHG , unemployed youth etc ",93 A Ravindrapuri Bhelupur Varanasi,Varanasi,UTTAR PRADESH,Not Available,Not Available,yeswt27(at)gmail[dot]com,"{' Kaushik Agrawal': 'Chairman', ' Uma Devi Agrawal': 'Secretary'}","{' Kaushik Agrawal': 'Available', ' Uma Devi Agrawal': 'Available'}","{' Kaushik Agrawal': 'Available', ' Uma Devi Agrawal': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other'}","{'2017-2018': 'As govt required 3 /2 yrs experience  for grant sanction. YESWT was registered 5th July 2017. We have done self sponsored training  programme and paid programme for the FY 2017-18', '2018-2019': 'As govt required 3 /2 yrs experience  for grant sanction. YESWT was registered on  5th July 2017. We have done self sponsored training  programme and paid programme for the FY 2018-19'}",34,12,195,100
YOUTH EVOLUTION SOCIETY,UP/2019/0227097,Registrar of Societies,Registered Societies (Non-Government),B-41807,Available,Available,SOCIETY REGISTRATION ACT 21 YEAR 1860,BAREILLY,UTTAR PRADESH,13-07-2011,"Dalit Upliftment,Differently Abled,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,Human Rights,Information &amp; Communication Technology,Labour &amp; Employment,Micro Small &amp; Medium Enterprises,New &amp; Renewable Energy,Rural Development &amp; Poverty Alleviation,Vocational Training,Women's Development &amp; Empowerment,Youth Affairs","UTTAR PRADESH, UTTARAKHAND","UTTAR PRADESH-&gt;Bijnor, Moradabad, Rampur, Jyotiba Phule Nagar, Bulandshahr , Aligarh, Hathras, Mathura, Budaun, Bareilly, Pilibhit, Shahjahanpur, Kheri, Sitapur, Hardoi, Farrukhabad, Kannauj, Bahraich, Shrawasti, Balrampur, Gonda, Etah, Kanshiram Nagar, Noida, Sambhal, Hapur, UTTARAKHAND-&gt;Champawat, Nainital, Udham Singh Nagar, Hardwar",Not Available,Not Available,"PROVIDED VOCATIONAL EDUCATION  ABOUT 800 YOUTHS
PROVIDED VOCATIONAL EDUCATION ABOUT 250 FEMALE
ABOUT 2000 TREES WERE SOWN","VIKAS NAGAR
BADAUN ROAD
BAREILLY",BAREILLY,UTTAR PRADESH,Not Available,http://www.youthsindia.org,youthsindia(at)yahoo[dot]com,"{' RAM RATAN LAL': 'President', ' DAVESH RASTOGI': 'Secretary', ' SUDHANSHU VASHISTH': 'Treasurer'}","{' RAM RATAN LAL': 'Available', ' DAVESH RASTOGI': 'Available', ' SUDHANSHU VASHISTH': 'Available'}","{' RAM RATAN LAL': 'Available', ' DAVESH RASTOGI': 'Available', ' SUDHANSHU VASHISTH': 'Available'}","{'2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2014-2015': 'Any Other', '2015-2016': 'Any Other', '2016-2017': 'Any Other', '2017-2018': 'Any Other'}","{'2014-2015': 'NOT APPLIED', '2015-2016': 'NOT APPLIED', '2016-2017': 'NOT APPLIED', '2017-2018': 'NOT APPLIED'}",34,13,195,100
Youth Farmers Education and Welfare Society,UP/2018/0212220,Registrar of Societies,Registered Societies (Non-Government),725,Available,Available,"SOCIETIES REGISTRATION ACT, 1860",Ghaziabad,UTTAR PRADESH,17-10-2016,Education &amp; Literacy,UTTAR PRADESH,UTTAR PRADESH-&gt;Ghaziabad,Not Available,Not Available,"Major achievements, most of the members are active farmers those doing actual farming by their own.
","NH-24, Gaurav Enclave, Dasna, Ghaziabad",Ghaziabad,UTTAR PRADESH,Not Available,Not Available,youthfarmers[dot]society(at)gmail.com,"{' Shadab Ali Khan': 'Chairman', ' ZAFARYAV': 'Secretary', ' Kunvar Shafaat Ali Khan': 'Treasurer'}","{' Shadab Ali Khan': 'Available', ' ZAFARYAV': 'Available', ' Kunvar Shafaat Ali Khan': 'Available'}","{' Shadab Ali Khan': 'Available', ' ZAFARYAV': 'Available', ' Kunvar Shafaat Ali Khan': 'Available'}","{'2017-2018': 'Not Specified', '2016-2017': 'Not Specified'}","{'2017-2018': 'Not Specified', '2016-2017': 'Not Specified'}","{'2017-2018': 'Any Other', '2016-2017': 'Any Other'}","{'2017-2018': 'Grant not Applied for.', '2016-2017': 'Not applied for'}",34,14,195,100
Youth For Change,UP/2020/0259367,Sub-Registrar,Trust (Non-Government),4/53/41-72/43,Available,Available,Indian Trust Act-1882,Chandauli,UTTAR PRADESH,12-06-2020,"Agriculture,Art &amp; Culture,Children,Civic Issues,Disaster Management,Drinking Water,Aged/Elderly,Environment &amp; Forests,Panchayati Raj,Youth Affairs",UTTAR PRADESH,"UTTAR PRADESH-&gt;Chandauli, Varanasi, Sonbhadra",Not Available,Not Available,"Our mission is to organize the youth and motivate them to serve the poor, differently-abled, illiterate, disabled brothers and sisters by making them aware of social responsibility and not to promote the tendency of giving charity, that is, develop a true sense of service among the youth In addition to propagating Indian cultural values.","Rampur Machhiya (Madhopur), District: Chandauli-232104 (U.P.)",Chandauli,UTTAR PRADESH,Not Available,Not Available,youthforchangechandauli(at)gmail[dot]com,"{' Abhishek Kumar Singh': 'Chief Executive Officer', ' Aditya Srivastava': 'Trustee', ' Vivek Kumar Singh': 'Trustee'}","{' Abhishek Kumar Singh': 'Available', ' Aditya Srivastava': 'Available', ' Vivek Kumar Singh': 'Available'}","{' Abhishek Kumar Singh': 'Available', ' Aditya Srivastava': 'Available', ' Vivek Kumar Singh': 'Available'}",{'2020-2021': 'Not Specified'},{'2020-2021': 'Not Specified'},{'2020-2021': 'Any Other'},"{'2020-2021': 'We have just started, our activities are taking place with public support. The institution has not yet received any grant.'}",34,15,195,100
Youth For Change Social Welfare Foundation,UP/2020/0257625,Registrar of Societies,Registered Societies (Non-Government),1181/13-14,Available,Available,"SOCIETIES REGISTRATION ACT, 1860",VARAANASI,UTTAR PRADESH,28-01-2014,"Legal Awareness &amp; Aid,Housing,Human Rights,Information &amp; Communication Technology,Labour &amp; Employment,Panchayati Raj,Prisoner's Issues,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Urban Development &amp; Poverty Alleviation,Vocational Training,Women's Development &amp; Empowerment,Youth Affairs,Any Other",UTTAR PRADESH,UTTAR PRADESH-&gt;Varanasi,Not Available,Not Available,"-Collect fund for the treatment of child who was suffering a hole in his heart.
-Provide free legal aid to the poor.
 ",719 SHIVAJI NAGAR COLONY NEAR PARAMHANS ASHRAM VILLAGE CHHITTUPUR POST RAMNA SAMNEGHAT LANKA VARANASI UTTAR PRADESH 221011,VARAANASI,UTTAR PRADESH,Not Available,Not Available,yfcswfoundation(at)gmail[dot]com,"{' Sandeep Kumar Vidyarthi ': 'President', ' Abhineet Srivastava': 'Vice President', ' Shahid Ali Khan': 'Secretary', ' Ashish Kumar Gupta ': 'Treasurer'}","{' Sandeep Kumar Vidyarthi ': 'Available', ' Abhineet Srivastava': 'Available', ' Shahid Ali Khan': 'Available', ' Ashish Kumar Gupta ': 'Available'}","{' Sandeep Kumar Vidyarthi ': 'Available', ' Abhineet Srivastava': 'Available', ' Shahid Ali Khan': 'Available', ' Ashish Kumar Gupta ': 'Available'}",{'2017-2018': 'Not Specified'},{'2017-2018': 'Not Specified'},{'2017-2018': 'Any Other'},{'2017-2018': 'Self Contributions '},34,16,195,100
YOUTH INDIA NATIONAL TRUST,UP/2018/0192277,Sub-Registrar,Trust (Non-Government),66,Available,Available,Trust Act 1950,Moradabad,UTTAR PRADESH,28-02-2018,"Disaster Management,Education &amp; Literacy,Information &amp; Communication Technology,Minority Issues,Sports,Vocational Training,Women's Development &amp; Empowerment,Youth Affairs,Any Other",UTTAR PRADESH,UTTAR PRADESH-&gt;Moradabad,Not Available,Not Available,Land Air And Water Activities ( Organize adventure training programmers) for youths and adults And Others ,"House No. 159Near Railway Crossing Serkoi Bhoor, Moradabad ",Moradabad,UTTAR PRADESH,Not Available,Not Available,youthindianationaltrust(at)gmail[dot]com,"{' Ifraeem': 'President', ' Irshad Ahmad': 'Treasurer', ' Rehana': 'Secretary'}","{' Ifraeem': 'Available', ' Irshad Ahmad': 'Available', ' Rehana': 'Available'}","{' Ifraeem': 'Available', ' Irshad Ahmad': 'Available', ' Rehana': 'Available'}",{'2017-2018': 'Not Specified'},{'2017-2018': 'Not Specified'},{'2017-2018': 'Any Other'},{'2017-2018': 'There Is Received No Funds '},34,17,195,100
youth integrated development society ,UP/2018/0190842,Registrar of Societies,Registered Societies (Non-Government),1339/2016-17,Available,Available,1860,moradabad,UTTAR PRADESH,07-03-2017,"Children,Civic Issues,Disaster Management,Drinking Water,Education &amp; Literacy,Health &amp; Family Welfare,Information &amp; Communication Technology,Legal Awareness &amp; Aid,Micro Small &amp; Medium Enterprises,Panchayati Raj,Rural Development &amp; Poverty Alleviation,Vocational Training,Youth Affairs",UTTAR PRADESH,UTTAR PRADESH-&gt;Moradabad,Not Available,Not Available,"trade fair,Startup event,awareness program ,youth activities",kaji ki sarai moradabad,moradabad,UTTAR PRADESH,Not Available,Not Available,choudhary[dot]shani007(at)gmail.com,"{' Shani Choudhary': 'Vice President', ' jai prakash': 'Treasurer', ' Nishu choudhary': 'Secretary', ' ANUKRITI': 'President'}","{' Shani Choudhary': 'Available', ' jai prakash': 'Available', ' Nishu choudhary': 'Available', ' ANUKRITI': 'Available'}","{' Shani Choudhary': 'Available', ' jai prakash': 'Available', ' Nishu choudhary': 'Available', ' ANUKRITI': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2016-2017': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2016-2017': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2016-2017': 'Any Other'}","{'2017-2018': 'sponsorship grant we have received for awarness and compagining program                                                    \n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n                                                                                                \n                                                                                              \n                                                                                             ', '2018-2019': 'NA                                                                                       \n \n \n \n                                                                                         \n                                                                                          \n                                                                                            \n                                                                                              \n                                   ', '2016-2017': 'No fund sanctioned '}",34,18,195,100
YOUTH POWER ASSOCIATION,UP/2019/0248792,Registrar of Societies,Registered Societies (Non-Government),MAH/02107/2019-2020,Available,Available,"Societies Registration Act 21, 1860",Maharajganj,UTTAR PRADESH,13-06-2019,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Disaster Management,Health &amp; Family Welfare,HIV/AIDS,Legal Awareness &amp; Aid,Nutrition,Panchayati Raj,Rural Development &amp; Poverty Alleviation,Science &amp; Technology,Sports,Urban Development &amp; Poverty Alleviation,Vocational Training,Water Resources,Women's Development &amp; Empowerment,Youth Affairs,Any Other",UTTAR PRADESH,"UTTAR PRADESH-&gt;Mahrajganj, Gorakhpur",Not Available,Not Available,"Youth Power Association is an NGO working in the field of youth development and empowerment, environment conservation and sustainable development, and water conservation. Along with it, YPA, in co-operation with common people and district administration also works for rectifying other social issues and making people aware of them through public awareness programmes. YPA is actively dedicated to get lots of development projects implemented. Youth Power Association is making efforts for the implem","Ambedkar Nagar Ward No.3, Nagar Palika Parishad Maharajganj, Pincode273303, Uttar Pradesh, India",Maharajganj,UTTAR PRADESH,Not Available,Not Available,nypassociation(at)gmail[dot]com,"{' SHIV PRASAD SHUKLA': 'President', ' RAHUL KUMAR TIWARI': 'Secretary', ' AVINASH DHAR DUBEY': 'Treasurer'}","{' SHIV PRASAD SHUKLA': 'Available', ' RAHUL KUMAR TIWARI': 'Available', ' AVINASH DHAR DUBEY': 'Available'}","{' SHIV PRASAD SHUKLA': 'Available', ' RAHUL KUMAR TIWARI': 'Available', ' AVINASH DHAR DUBEY': 'Available'}",{'2019-2020': 'Not Specified'},{'2019-2020': 'Not Specified'},{'2019-2020': 'Any Other'},{'2019-2020': 'No Any Grant Sanctioned This Financial Year'},34,19,195,100
YOUTH RURAL ENTREPRENEUR FOUNDATION,UP/2020/0259662,Registrar of Companies,Private Sector Companies (Sec 8/25),U85300UP2019NPL122845,Available,Available,Companies Act,VARANASI,UTTAR PRADESH,30-10-2019,"Labour &amp; Employment,Rural Development &amp; Poverty Alleviation,Vocational Training,Youth Affairs",UTTAR PRADESH,UTTAR PRADESH-&gt;Varanasi,Not Available,Not Available,Not Available,"Plot No. 78, Arajee No.112, Balajee Nagar, Colony Samneghat, Balaji Nagar, Varanasi",VARANASI,UTTAR PRADESH,Not Available,Not Available,rai[dot]sairam.satyam(at)gmail.com,"{' SATYAM RAI': 'Chairman', ' UTKARSH KUMAR SINGH': 'Secretary', ' KANWAL KISHORE': 'Chief Finance officer'}","{' SATYAM RAI': 'Available', ' UTKARSH KUMAR SINGH': 'Available', ' KANWAL KISHORE': 'Available'}","{' SATYAM RAI': 'Available', ' UTKARSH KUMAR SINGH': 'Available', ' KANWAL KISHORE': 'Available'}",{'2019-2020': 'Not Specified'},{'2019-2020': 'Not Specified'},{'2019-2020': 'Any Other'},"{'2019-2020': 'VOLUNTARY CONTRIBUTION, LOAN AND CAPITAL.'}",34,20,195,100
BHARAT JANKALYAN FOUNDATION,HR/2020/0259021,Sub-Registrar,Trust (Non-Government),556,Available,Available,INDIAN TRUST ACT,LUCKNOW,UTTAR PRADESH,01-10-2021,"Sports,Education &amp; Literacy,Women's Development &amp; Empowerment,Any Other",HARYANA,HARYANA-&gt;Gurgaon,Not Available,Not Available,"1.DEVELOPMENT OF THE SPORTS AT RURAL AS WELL AS URBAN LEVEL
2. TO PROTECT, PROMOTE, PRESERVE, DEVELOP AND IMPROVE PLAYING FIELDS, PARKS, OPEN SPACES AND OTHER FACILITIES FOR PLAY, SPORTS EXERCISE, AND PHYSICAL RECREATION FOR THE USE  AND BENEFIT OF ALL, ACROSS GENDER, COMMUNITIES AND ACROSS ALL AGE GROUPS.
3.HELP TO POOR AND NEEDY PERSONS.


","4/206 , SECTOR 4 , JANKIPURAM EXTENSION,LUCKNOW UTTAR PRADESH- 226021",LUCKNOW,UTTAR PRADESH,Not Available,Not Available,Ajayanjana1986(at)gmail[dot]com,"{' Satish Kumar': 'General Secretary', ' MAHTAB SINGH': 'President', ' KRISHAN': 'Treasurer'}","{' Satish Kumar': 'Available', ' MAHTAB SINGH': 'Available', ' KRISHAN': 'Available'}","{' Satish Kumar': 'Available', ' MAHTAB SINGH': 'Available', ' KRISHAN': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other', '2020-2021': 'Any Other'}","{'2017-2018': 'No Grant Sanctioned', '2018-2019': 'No Grant Sanctioned', '2019-2020': 'No Grant Sanctioned', '2020-2021': 'No Grant Sanctioned'}",34,21,195,100
Youth Sports Academy,UP/2019/0237773,Registrar of Societies,Registered Societies (Non-Government),757,Available,Available,"21,1860",KANPUR NAGAR,UTTAR PRADESH,31-07-2017,Sports,UTTAR PRADESH,UTTAR PRADESH-&gt;Kanpur Nagar,Not Available,Not Available,Not Available,"15 A BHAIRAMPUR, NAUBASTA, KANPUR NAGAR -208021",KANPUR NAGAR,UTTAR PRADESH,Not Available,Not Available,sandeep9044166208(at)gmail[dot]com,"{' Sandeep Kumar': 'Secretary', ' Vishal Vashishtha': 'Member', ' Gopi Nath Pasi': 'Treasurer'}","{' Sandeep Kumar': 'Available', ' Vishal Vashishtha': 'Available', ' Gopi Nath Pasi': 'Available'}","{' Sandeep Kumar': 'Available', ' Vishal Vashishtha': 'Available', ' Gopi Nath Pasi': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other'}","{'2017-2018': 'No Grant Sanctioned', '2018-2019': 'No Grant Sanctioned', '2019-2020': 'No Grant Sanctioned'}",34,22,195,100
Youth sports association,UP/2020/0267212,Registrar of Societies,Registered Societies (Non-Government),BUL/04077/2020-2021,Available,Available,"21, 1860",KWARSI,UTTAR PRADESH,30-09-2020,Sports,UTTAR PRADESH,"UTTAR PRADESH-&gt;Meerut, Ghaziabad, Gautam Buddha Nagar, Bulandshahr , Aligarh",Not Available,Not Available,WE ORGANISED A STATE LEVEL CHAMPIONSHIP IT PERFORMED WELL ITSELF,"village kwarsi,post sarangpur, khurja district bulandshahar uttar pradesh203132",KWARSI,UTTAR PRADESH,Not Available,Not Available,SAGAR[dot]BOBBY145(at)GMAIL.COM,"{' Harkesh': 'Secretary', ' Bobby': 'Treasurer', ' CHANDRA SHEKHAR': 'President'}","{' Harkesh': 'Available', ' Bobby': 'Available', ' CHANDRA SHEKHAR': 'Available'}","{' Harkesh': 'Available', ' Bobby': 'Available', ' CHANDRA SHEKHAR': 'Available'}",{'2020-2021': 'Not Specified'},{'2020-2021': 'Not Specified'},{'2020-2021': 'Any Other'},{'2020-2021': 'To improve games at youth'},34,23,195,100
Youth Time Foundation,UP/2020/0254825,Registrar of Societies,Registered Societies (Non-Government),VAR/01698/2019-2020,Available,Available,"Society-Registry (subject to Act No. 21, 1860)",Varanasi,UTTAR PRADESH,28-05-2019,"Women's Development &amp; Empowerment,Children,Education &amp; Literacy,Environment &amp; Forests,Food Processing,Health &amp; Family Welfare,Human Rights,Right to Information &amp; Advocacy,Vocational Training,Youth Affairs",UTTAR PRADESH,UTTAR PRADESH-&gt;Varanasi,Not Available,Not Available,"Youth Time Foundation is a youth initiative started with a motive to channelise the youth power against the inhuman treatment happening with girls in todays world . Where as the constant increase in rape rates molestation cases and other social and physical violence with girls is a matter of thinking and considering the situations in our nation this group was formed on 28th May 2019 with the aim to wipe out the
 darkest truth i.e rapes and also fight against the other social evils.","C 32/22-B-7/10,Annapurna Nagar Colony,Varanasi",Varanasi,UTTAR PRADESH,Not Available,Not Available,youthtimefoundation(at)gmail[dot]com,"{' Amulya Kumar': 'President', ' Pranshu Jaiswal': 'Secretary', ' Ragini': 'Treasurer', ' Vinay Yadav': 'Board Member'}","{' Amulya Kumar': 'Available', ' Pranshu Jaiswal': 'Available', ' Ragini': 'Available', ' Vinay Yadav': 'Available'}","{' Amulya Kumar': 'Available', ' Pranshu Jaiswal': 'Available', ' Ragini': 'Available', ' Vinay Yadav': 'Available'}",{'2019-2020': 'Not Specified'},{'2019-2020': 'Not Specified'},{'2019-2020': 'Any Other'},"{'2019-2020': 'To Fight against rape,physical violence happing with girls and womens.\nTo Spread awareness regarding women violence and legal provision for the same.\nTo Help Vicitism of rape,molestration,acid attack and other criminal offenses.\nProvide nessecity products in form of donations .\nInvolvement in cleaness and plantation drive.\nBlood donation to needy people.\nOrganisation of self defence camp for women empowerment.'}",34,24,195,100
YOUTH UMANG FOUNDATION,UP/2021/0280666,Registrar of Societies,Registered Societies (Non-Government),02663,Available,Available,"21,1860",AYODHYA,UTTAR PRADESH,31-08-2020,"Art &amp; Culture,Children,Education &amp; Literacy,Environment &amp; Forests,Rural Development &amp; Poverty Alleviation,Scientific &amp; Industrial Research,Sports,Tourism,Urban Development &amp; Poverty Alleviation,Water Resources,Women's Development &amp; Empowerment,Youth Affairs,Any Other,Skill Development",UTTAR PRADESH,"UTTAR PRADESH-&gt;Faizabad, Sultanpur, Gonda",Not Available,Not Available,Not Available,SHIVNAGAR COLONY PAHADGANJ TEHSIL SADAR DISTRICT AYODHYA UP,AYODHYA,UTTAR PRADESH,Not Available,Not Available,yufayodhya(at)gmail[dot]com,"{' RAJ KUMAR TIWARI': 'President', ' SUNIL SINGH': 'Treasurer', ' NIHARIKA YADAV': 'Secretary'}","{' RAJ KUMAR TIWARI': 'Available', ' SUNIL SINGH': 'Available', ' NIHARIKA YADAV': 'Available'}","{' RAJ KUMAR TIWARI': 'Available', ' SUNIL SINGH': 'Available', ' NIHARIKA YADAV': 'Available'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2016-2017': 'Any Other', '2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other'}","{'2016-2017': 'NO AUDIT BALANCE SEAT', '2017-2018': 'NO AUDIT BALANCE SEAT', '2018-2019': 'NO AUDIT BALANCE SEAT', '2019-2020': 'NO AUDIT BALANCE SEAT'}",34,25,195,100
